,Date,Country,Confirmed,Recovered,Deaths,Active,New Cases,New Recovered,New Deaths
14778,2020-04-10,Taiwan*,382,91.0,6,285.0,2,1,24
14690,2020-04-10,Honduras,382,7.0,23,352.0,39,0,1
11921,2020-03-26,Iraq,382,105.0,36,241.0,36,7,2
9000,2020-03-10,Netherlands,382,0.0,4,378.0,61,1,0
11512,2020-03-24,Croatia,382,5.0,1,376.0,67,0,0
14887,2020-04-11,Jordan,381,177.0,7,197.0,9,0,7
8016,2020-03-05,France,380,12.0,6,362.0,92,2,0
13038,2020-04-01,Kazakhstan,380,26.0,3,351.0,37,1,2
11233,2020-03-22,Philippines,380,17.0,25,338.0,73,6,4
14593,2020-04-09,Taiwan*,380,67.0,5,308.0,1,0,6
14408,2020-04-08,Taiwan*,379,61.0,5,313.0,3,0,4
15093,2020-04-12,Malta,378,44.0,3,331.0,8,0,28
14681,2020-04-10,Ghana,378,4.0,6,368.0,0,0,1
14496,2020-04-09,Ghana,378,3.0,6,369.0,65,0,-31
11507,2020-03-24,Colombia,378,6.0,3,369.0,101,0,3
11297,2020-03-23,Bahrain,377,149.0,2,226.0,43,0,0
16611,2020-04-20,Senegal,377,235.0,5,137.0,10,2,15
13876,2020-04-06,Albania,377,116.0,21,240.0,16,1,12
9998,2020-03-16,Australia,377,23.0,3,351.0,80,0,0
15078,2020-04-12,Kyrgyzstan,377,54.0,5,318.0,38,0,10
17059,2020-04-23,Congo (Kinshasa),377,47.0,25,305.0,18,0,2
12768,2020-03-31,Andorra,376,10.0,12,354.0,6,4,0
12675,2020-03-30,Latvia,376,1.0,0,375.0,29,0,0
14223,2020-04-07,Taiwan*,376,57.0,5,314.0,3,0,0
12990,2020-04-01,Costa Rica,375,4.0,2,369.0,28,0,0
8856,2020-03-09,Switzerland,374,3.0,2,369.0,37,0,0
15720,2020-04-15,West Bank and Gaza,374,63.0,2,309.0,66,0,1
15905,2020-04-16,West Bank and Gaza,374,63.0,2,309.0,0,0,0
15479,2020-04-14,Nigeria,373,99.0,11,263.0,30,1,8
14038,2020-04-06,Taiwan*,373,57.0,5,311.0,10,0,7
14517,2020-04-09,Jordan,372,161.0,7,204.0,14,1,11
10383,2020-03-18,Brazil,372,2.0,3,367.0,51,2,0
14702,2020-04-10,Jordan,372,170.0,7,195.0,0,0,9
15683,2020-04-15,San Marino,372,53.0,36,283.0,1,0,0
14187,2020-04-07,Oman,371,67.0,2,302.0,40,0,6
15498,2020-04-14,San Marino,371,53.0,36,282.0,15,1,0
12583,2020-03-30,Andorra,370,10.0,8,352.0,36,2,9
17497,2020-04-25,Mali,370,91.0,21,258.0,45,0,4
14908,2020-04-11,Malta,370,16.0,3,351.0,20,1,0
15974,2020-04-17,Georgia,370,79.0,3,288.0,22,0,3
10809,2020-03-20,Indonesia,369,15.0,32,322.0,58,7,4
13496,2020-04-03,Uruguay,369,68.0,4,297.0,19,0,6
11526,2020-03-24,Estonia,369,7.0,0,362.0,17,0,5
17177,2020-04-23,Sri Lanka,368,107.0,7,254.0,38,0,2
12146,2020-03-27,New Zealand,368,37.0,0,331.0,85,0,10
12601,2020-03-30,Bosnia and Herzegovina,368,17.0,10,341.0,45,4,9
11936,2020-03-26,Lebanon,368,23.0,6,339.0,35,0,3
11396,2020-03-23,Mexico,367,4.0,4,359.0,51,1,0
11842,2020-03-26,Algeria,367,29.0,25,313.0,65,4,-36
11052,2020-03-21,Romania,367,52.0,0,315.0,59,0,27
13875,2020-04-06,Afghanistan,367,18.0,11,338.0,18,4,3
11238,2020-03-22,Russia,367,16.0,1,350.0,61,0,4
16426,2020-04-19,Senegal,367,220.0,3,144.0,17,0,9
10781,2020-03-20,Ecuador,367,0.0,5,362.0,168,2,0
11337,2020-03-23,Egypt,366,56.0,19,291.0,39,5,0
17845,2020-04-27,Jamaica,364,29.0,7,328.0,14,0,1
13901,2020-04-06,Burkina Faso,364,108.0,18,238.0,19,1,18
17849,2020-04-27,Kenya,363,114.0,14,235.0,8,0,8
15403,2020-04-14,Djibouti,363,53.0,2,308.0,65,0,12
11232,2020-03-22,Peru,363,1.0,5,357.0,45,0,0
12916,2020-03-31,Slovakia,363,3.0,0,360.0,27,0,-4
15425,2020-04-14,Guinea,363,31.0,0,332.0,44,0,14
13853,2020-04-05,Taiwan*,363,50.0,5,308.0,8,0,0
13691,2020-04-05,Albania,361,104.0,20,237.0,28,0,5
8041,2020-03-05,Japan,360,43.0,6,311.0,29,0,0
16874,2020-04-22,Congo (Kinshasa),359,45.0,25,289.0,9,0,10
12960,2020-04-01,Azerbaijan,359,26.0,5,328.0,61,0,0
10900,2020-03-20,Turkey,359,0.0,4,355.0,167,1,0
12605,2020-03-30,Bulgaria,359,17.0,8,334.0,13,0,3
14332,2020-04-08,Jordan,358,150.0,6,202.0,5,0,12
12125,2020-03-27,Lithuania,358,1.0,5,352.0,59,1,0
15128,2020-04-12,San Marino,356,53.0,35,268.0,0,0,0
15313,2020-04-13,San Marino,356,53.0,35,268.0,0,0,0
14943,2020-04-11,San Marino,356,53.0,35,268.0,12,1,3
13179,2020-04-02,Cyprus,356,28.0,10,318.0,36,1,0
12383,2020-03-28,Ukraine,356,5.0,9,342.0,46,4,0
9040,2020-03-10,Sweden,355,1.0,0,354.0,107,0,0
13668,2020-04-04,Taiwan*,355,50.0,5,300.0,7,0,0
4672,2020-02-16,Diamond Princess,355,0.0,0,355.0,70,0,0
17664,2020-04-26,Kenya,355,106.0,14,235.0,12,0,8
10679,2020-03-19,Poland,355,1.0,5,349.0,104,0,-12
15375,2020-04-14,Bolivia,354,6.0,28,320.0,24,1,4
13075,2020-04-01,North Macedonia,354,17.0,11,326.0,25,2,5
14147,2020-04-07,Jordan,353,138.0,6,209.0,4,0,12
12877,2020-03-31,Moldova,353,18.0,4,331.0,55,2,3
11341,2020-03-23,Estonia,352,2.0,0,350.0,26,0,0
13335,2020-04-03,Belarus,351,53.0,4,294.0,47,0,0
16241,2020-04-18,Senegal,350,211.0,3,136.0,8,1,13
17660,2020-04-26,Jamaica,350,28.0,7,315.0,45,0,0
16689,2020-04-21,Congo (Kinshasa),350,35.0,25,290.0,18,0,8
13918,2020-04-06,Cuba,350,18.0,9,323.0,30,1,3
14723,2020-04-10,Malta,350,16.0,2,332.0,13,0,0
13311,2020-04-02,Uruguay,350,62.0,4,284.0,12,2,21
13962,2020-04-06,Jordan,349,126.0,6,217.0,4,1,16
13690,2020-04-05,Afghanistan,349,15.0,7,327.0,50,0,5
14101,2020-04-07,Cote d'Ivoire,349,41.0,3,305.0,26,0,0
15789,2020-04-16,Georgia,348,76.0,3,269.0,42,0,5
13483,2020-04-03,Taiwan*,348,50.0,5,293.0,9,0,5
